iter,offloads,total
1000,993,1000
10000,8872,10000
19000,15175,19000
28000,20251,28000
37000,24399,37000
46000,27648,46000
55000,30582,55000
64000,32820,64000
73000,34667,73000
82000,37095,82000
91000,37388,91000
100000,41547,100000
109000,40199,109000
118000,41574,118000
127000,46063,127000
136000,43044,136000
145000,44668,145000
154000,49879,154000
163000,44250,163000
172000,45567,172000
181000,45697,181000
190000,44648,190000
199000,65977,199000
208000,47091,208000
217000,51760,217000
226000,57063,226000
235000,48428,235000
244000,51320,244000
253000,59056,253000
262000,48190,262000
271000,55624,271000
280000,53075,280000
289000,58041,289000
298000,69512,298000
307000,84930,307000
316000,92830,316000
325000,94067,325000
334000,105080,334000
343000,113619,343000
352000,120802,352000
361000,128282,361000
370000,121793,370000
379000,129691,379000
388000,141978,388000
397000,135959,397000
