iter,impl,latency_ns,throughput
512,unbased,500474,11678.22
512,based,699007,11984
8704,unbased,159127,26221.51
8704,based,510317,14009
16896,unbased,174631,25845.09
16896,based,485621,14719
25088,unbased,167918,27217.24
25088,based,437895,15663
33280,unbased,256434,21902.07
33280,based,430416,15719
41472,unbased,402227,16486.14
41472,based,375137,17483
49664,unbased,237194,22510.55
49664,based,381656,16912
57856,unbased,232367,21290.10
57856,based,396376,16447
66048,unbased,193485,24298.83
66048,based,410192,15199
74240,unbased,199668,23530.16
74240,based,390592,16413
82432,unbased,196888,24248.61
82432,based,354304,17720
90624,unbased,167734,26473.73
90624,based,359311,17267
98816,unbased,282031,20593.75
98816,based,381882,16919
107008,unbased,272258,20191.76
107008,based,505025,13959
115200,unbased,334219,18049.20
115200,based,437411,15372
123392,unbased,290070,19716.57
123392,based,494083,14240
131584,unbased,453988,15419.74
131584,based,439543,15143
139776,unbased,372813,17063.66
139776,based,531418,13529
147968,unbased,363798,17259.71
147968,based,593396,12395
156160,unbased,284170,19679.05
156160,based,404742,16059
164352,unbased,377810,16726.06
164352,based,462521,14701
172544,unbased,327880,18265.23
172544,based,552315,13004
180736,unbased,354442,17561.65
180736,based,361243,16913
188928,unbased,415648,15570.12
188928,based,525399,13226
197120,unbased,356177,17258.73
197120,based,403465,15973
205312,unbased,353773,17145.33
205312,based,371511,16804
213504,unbased,416389,15730.80
213504,based,379847,16336
221696,unbased,416209,15456.11
221696,based,616447,11852
229888,unbased,432302,15081.56
229888,based,660584,11188
238080,unbased,481801,14133.86
238080,based,694436,10849
246272,unbased,499333,13656.64
246272,based,626126,11656
254464,unbased,507388,13698.49
254464,based,716382,10586
262656,unbased,491055,13908.64
262656,based,728307,10318
270848,unbased,508798,13509.92
270848,based,696199,10844
279040,unbased,472500,14123.31
279040,based,653600,11282
287232,unbased,472628,14338.03
287232,based,716946,10508
295424,unbased,467137,14368.50
295424,based,715997,10481
303616,unbased,498105,13755.12
303616,based,730541,10326
311808,unbased,518264,13398.98
311808,based,736092,10206
320000,unbased,492785,13830.97
320000,based,710393,10512
328192,unbased,504564,13606.21
328192,based,696900,10722
336384,unbased,522093,13224.13
336384,based,708768,10546
344576,unbased,535547,12947.75
344576,based,716755,10549
352768,unbased,510392,13524.46
352768,based,773298,9936
360960,unbased,527187,13324.20
360960,based,790297,9802
369152,unbased,528281,13254.15
369152,based,782128,9861
